n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
250,280,1353,1383,578,142,122,13,0,76,28,0,0,5,23,4,0,23,65,10,30,0,8,1,19,0,1,0,0,185,163,23,17,56.8,50.48,36.48923076923077,52.800000000000004,99.80524778366089,13,2,1,1,0
254,299,1473,1518,600,151,131,12,2,69,27,6,1,6,19,2,0,16,59,29,45,0,10,0,15,3,0,0,0,143,121,21,24,59.4488188976378,45.181102362204726,31.29002624671917,46.45669291338583,99.78355169296265,29,12,7,6,2
305,345,1617,1657,675,186,164,11,1,82,31,13,0,5,27,3,0,23,72,30,40,0,10,0,9,10,0,0,2,184,153,28,38,60.983606557377044,46.80327868852459,34.42026825633382,46.22950819672131,99.69081282615662,16,16,17,3,5
305,345,1617,1657,675,186,164,11,1,82,31,13,0,5,27,3,0,23,72,30,40,0,10,0,9,10,0,0,2,184,153,28,38,60.983606557377044,46.80327868852459,34.42026825633382,46.22950819672131,99.69081282615662,16,16,17,3,5
123,145,649,671,256,90,78,4,0,36,15,6,1,0,13,2,0,10,21,9,22,0,6,0,9,2,0,0,2,75,69,8,9,73.17073170731707,45.99186991869919,39.96544715447152,49.59349593495935,99.25364255905151,21,10,12,3,2
123,145,649,671,256,90,78,4,0,36,15,6,1,0,13,2,0,10,21,9,22,0,6,0,9,2,0,0,2,75,69,8,9,73.17073170731707,45.99186991869919,39.96544715447152,49.59349593495935,99.25364255905151,21,10,12,3,2
281,349,1499,1567,609,190,163,10,0,59,32,13,0,2,21,6,0,32,50,53,65,0,8,0,17,2,0,0,1,161,145,16,24,67.61565836298932,46.330960854092524,37.02811387900356,44.48398576512456,99.91524815559387,20,6,9,3,3
255,291,1493,1529,616,177,148,10,0,75,29,1,0,6,19,2,0,36,58,17,36,0,8,0,18,3,0,0,2,186,166,21,27,69.41176470588235,42.21568627450981,23.480392156862763,57.25490196078431,99.80529546737671,20,9,8,5,3
127,139,776,788,316,94,75,8,0,35,15,1,0,0,16,0,0,11,27,9,13,0,5,1,9,2,0,0,2,79,66,13,7,74.01574803149606,46.79527559055118,28.392716535433067,48.031496062992126,99.90051984786987,12,5,6,2,4
420,468,2466,2514,1024,240,196,19,2,100,63,3,0,10,26,12,0,32,86,40,48,0,13,2,31,9,1,0,6,260,207,47,37,57.14285714285714,43.857142857142854,25.418546365914754,48.80952380952381,99.95659589767456,33,15,16,3,5
305,337,1804,1836,753,203,170,16,0,81,31,4,1,9,27,6,0,30,68,30,32,0,7,2,18,2,3,0,2,185,161,22,29,66.55737704918033,45.59016393442623,26.46209016393442,49.50819672131148,99.96335506439209,66,21,30,6,3
408,461,2416,2469,1019,261,217,19,0,128,45,12,0,8,31,6,0,43,99,9,56,0,8,2,30,4,0,0,2,284,234,50,45,63.970588235294116,43.754901960784316,22.18562951496388,54.90196078431373,99.78945255279541,47,16,17,6,4
215,243,1197,1225,504,159,132,13,0,61,16,3,0,3,21,4,1,26,44,22,28,0,7,1,12,1,1,0,1,138,117,21,20,73.95348837209302,51.46511627906977,37.089445438282645,49.30232558139535,99.92055892944336,30,13,12,4,3
438,483,2516,2561,1044,252,204,16,0,130,60,4,0,11,41,9,0,35,102,24,42,0,15,2,37,6,1,0,7,305,278,28,43,57.534246575342465,42.51598173515982,23.6934931506849,53.88127853881278,98.8646388053894,83,25,25,14,12
233,277,1324,1368,562,155,124,11,0,65,33,8,0,12,22,2,0,28,38,5,44,0,11,2,15,4,1,0,5,174,139,34,21,66.52360515021459,46.33905579399141,28.037065938353496,59.227467811158796,99.92866516113281,16,3,1,2,1
