n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density
305,342,1623,1660,674,187,165,11,3,83,30,8,0,5,27,3,0,23,73,28,36,0,10,0,8,10,0,0,2,183,151,29,38,61.31147540983607,46.60655737704918,34.63338301043216,46.22950819672131
126,148,649,671,263,90,79,6,0,36,16,7,1,0,13,3,0,10,21,8,19,0,6,0,13,1,0,0,1,74,68,8,9,71.42857142857143,51.77777777777778,49.32539682539681,49.2063492063492
126,148,649,671,263,90,79,6,0,36,16,7,1,0,13,3,0,10,21,8,19,0,6,0,13,1,0,0,1,74,68,8,9,71.42857142857143,51.77777777777778,49.32539682539681,49.2063492063492
286,356,1517,1587,616,193,166,9,0,57,32,13,1,2,21,6,0,33,50,55,67,0,8,0,17,2,0,0,1,159,142,16,25,67.48251748251748,45.3986013986014,34.22222222222222,43.35664335664335
270,306,1509,1545,633,177,150,10,0,76,29,1,0,5,19,2,0,35,58,18,36,0,8,0,18,3,0,0,1,184,164,21,27,65.55555555555556,44.22222222222222,26.611111111111086,53.70370370370371
134,146,779,791,324,93,75,8,0,36,15,1,0,0,16,0,0,11,27,9,12,0,5,1,9,2,0,0,2,80,67,13,8,69.40298507462687,48.776119402985074,32.085820895522374,46.26865671641791
423,469,2465,2511,1033,241,199,20,0,100,65,3,2,9,26,12,0,30,87,42,46,0,13,2,32,10,1,0,6,261,208,47,37,56.973995271867615,44.910165484633566,26.114775413711563,48.226950354609926
315,345,1799,1829,756,198,170,14,0,80,29,4,1,9,28,5,0,30,65,33,30,0,6,2,17,2,2,0,2,182,158,22,29,62.857142857142854,45.22222222222222,27.5,46.98412698412698
427,473,2439,2485,1048,261,219,17,0,128,46,10,0,8,31,6,0,43,100,9,48,0,8,2,30,5,0,0,1,285,236,49,46,61.124121779859486,43.824355971896956,21.35073701611791,52.69320843091335
223,248,1217,1242,519,158,134,15,0,59,16,3,0,3,22,4,0,26,42,25,25,0,7,1,12,1,1,0,1,138,117,21,20,70.85201793721974,54.60538116591928,39.85530642750374,46.63677130044843
464,504,2543,2583,1077,253,204,16,0,131,59,5,0,11,40,10,0,35,98,22,40,0,15,2,36,6,1,0,6,302,275,28,42,54.525862068965516,44.53879310344828,26.12715517241378,50.86206896551724
239,282,1338,1381,571,153,123,10,0,65,33,8,0,12,23,2,0,28,38,6,43,0,12,2,15,4,1,0,5,177,142,34,22,64.01673640167364,45.56903765690377,26.80711297071131,57.74058577405857
