n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182,99.97726082801819,1,1,1,1,1
44,49,269,274,111,42,38,1,0,11,8,0,0,1,9,3,0,5,6,0,5,0,0,1,4,0,1,0,1,39,32,8,3,95.45454545454545,34.68181818181818,-1.977272727272748,56.81818181818182,99.97726082801819,1,1,1,1,1
41,47,209,215,86,35,32,1,0,11,7,0,0,0,3,5,0,2,8,3,6,0,2,0,3,0,1,0,1,30,27,3,6,85.36585365853658,45.34146341463415,28.65853658536585,48.78048780487805,98.95429015159607,5,1,1,1,1
88,108,530,550,215,64,59,10,0,28,9,0,0,0,7,3,0,12,17,6,20,0,2,0,7,0,2,0,1,66,46,20,8,72.72727272727273,62.86363636363636,38.393181818181816,55.68181818181818,99.59401488304138,6,1,1,1,1
79,97,493,511,203,60,55,1,0,28,7,0,0,0,3,1,0,9,17,4,18,0,5,0,5,0,0,0,0,51,41,10,8,75.9493670886076,30.392405063291136,-40.02531645569621,55.69620253164557,99.91523623466492,13,6,6,2,3
68,78,404,414,166,60,51,4,0,15,12,0,0,3,9,4,0,6,14,1,10,0,3,0,9,1,0,0,0,53,43,12,8,88.23529411764706,47.23529411764706,30.323529411764696,52.94117647058824,99.86985921859741,12,6,9,3,3
68,78,404,414,166,60,51,4,0,15,12,0,0,3,9,4,0,6,14,1,10,0,3,0,9,1,0,0,0,53,43,12,8,88.23529411764706,47.23529411764706,30.323529411764696,52.94117647058824,99.86985921859741,12,6,9,3,3
434,496,2350,2412,962,249,226,15,0,124,31,25,0,8,34,5,0,36,106,39,62,0,10,5,26,0,2,1,2,274,233,39,42,57.373271889400925,45.22119815668203,32.98832565284178,45.852534562211986,98.29074144363403,186,9,43,4,9
445,507,2388,2450,972,256,233,14,0,122,31,27,2,8,35,5,0,36,111,43,61,0,10,5,26,0,2,1,2,276,235,39,43,57.528089887640455,44.7752808988764,32.236757624398045,44.26966292134831,98.26961755752563,133,9,35,3,6
324,370,1863,1909,786,200,177,16,0,102,39,10,2,11,25,1,0,27,81,17,43,0,5,0,16,9,0,0,3,226,185,43,29,61.72839506172839,46.31481481481482,28.06481481481481,55.24691358024691,99.92997646331787,10,4,3,3,1
154,170,837,853,347,95,84,2,0,46,9,5,0,3,19,2,0,12,38,11,16,0,8,1,7,0,0,0,1,108,94,14,15,61.68831168831169,38.54545454545455,-17.46103896103898,45.45454545454545,99.96057152748108,8,3,8,1,5
335,381,1819,1865,723,177,157,12,1,106,20,20,0,1,29,4,0,29,86,14,46,0,18,0,15,2,0,0,2,209,171,39,38,52.83582089552239,45.44776119402985,37.799751243781074,46.56716417910447,99.15941953659058,112,12,41,0,18
384,443,2075,2134,817,206,183,20,0,105,31,41,0,7,28,5,0,35,86,21,59,0,11,3,25,1,0,0,6,192,166,24,28,53.645833333333336,50.588541666666664,48.50572916666668,46.35416666666667,98.1222927570343,438,22,76,6,30
420,462,2371,2413,962,190,166,19,0,110,36,29,0,7,35,8,0,38,100,28,42,0,7,8,17,5,0,0,6,223,188,34,24,45.23809523809524,46.11904761904762,35.01378446115288,45.476190476190474,99.78567361831665,58,38,43,16,17
420,462,2371,2413,962,190,166,19,0,110,36,29,0,7,35,8,0,38,100,28,42,0,7,8,17,5,0,0,6,223,188,34,24,45.23809523809524,46.11904761904762,35.01378446115288,45.476190476190474,99.78567361831665,58,38,43,16,17
318,364,1759,1805,738,179,156,11,1,107,30,12,0,7,28,1,0,26,87,8,46,0,5,2,17,4,0,0,5,215,178,37,27,56.289308176100626,44.062893081761004,26.2418524871355,53.459119496855344,99.46328997612,48,8,17,3,7
236,276,1230,1270,500,120,103,15,0,79,20,16,0,6,11,2,0,15,50,22,38,0,8,1,10,4,0,0,6,132,105,27,27,50.847457627118644,55.94915254237288,52.55480225988698,50.847457627118644,98.98959994316101,213,25,32,7,12
