n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
82,102,504,524,207,63,58,2,0,29,9,0,0,0,4,1,0,8,16,4,20,0,5,0,5,1,0,0,0,53,45,8,8,76.82926829268293,34.853658536585364,0.9146341463414558,56.09756097560976,98.29070568084717,75,14,11,8,7
68,79,412,423,167,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,51,42,10,5,86.76470588235294,54.88235294117647,35.03431372549017,54.41176470588235,98.86080026626587,79,16,20,12,12
68,79,412,423,167,59,49,6,0,16,12,0,0,3,9,6,0,6,12,1,11,0,2,0,7,2,0,0,0,51,42,10,5,86.76470588235294,54.88235294117647,35.03431372549017,54.41176470588235,98.86080026626587,79,16,20,12,12
440,506,2388,2454,971,247,220,18,0,122,42,26,0,7,36,4,0,33,102,41,66,0,10,6,34,1,1,1,1,278,238,38,40,56.13636363636364,47.0,38.112373737373716,46.36363636363636,97.4254846572876,396,28,64,18,22
396,455,2169,2228,884,243,215,16,0,108,38,22,0,7,34,4,0,32,94,34,59,0,9,5,28,2,1,1,1,254,216,36,36,61.36363636363637,46.34848484848485,36.148989898989896,46.717171717171716,97.40837812423706,563,33,71,24,27
319,365,1819,1865,769,202,172,20,0,92,52,10,2,13,24,3,0,23,72,17,43,0,5,2,20,12,0,0,0,228,194,34,27,63.322884012539184,50.78683385579937,33.357210031347975,56.42633228840125,98.80552887916565,286,29,25,26,19
108,123,598,613,252,73,65,5,0,29,14,3,0,2,19,0,0,9,17,9,15,0,5,1,11,0,0,0,0,80,70,10,8,67.5925925925926,47.51851851851852,32.73333333333331,50.0,94.2294180393219,403,15,43,13,30
331,372,1782,1823,711,178,158,15,1,97,26,20,0,1,35,7,0,29,79,13,41,0,16,0,20,2,1,0,0,217,180,37,37,53.776435045317214,48.7583081570997,44.31097683786504,46.22356495468278,98.50009679794312,239,31,60,16,28
374,429,2016,2071,794,199,176,21,0,100,32,41,0,6,30,3,0,34,81,21,55,0,11,4,24,2,0,0,0,192,167,23,29,53.20855614973262,51.94117647058823,50.19582378405907,45.98930481283423,98.07687997817993,541,30,98,12,42
404,446,2293,2335,931,189,163,26,0,100,52,28,1,5,39,5,0,37,81,28,42,0,6,8,25,6,0,0,1,225,190,32,23,46.78217821782179,51.54950495049505,40.67193450114241,48.01980198019802,97.10288047790527,447,70,80,43,41
404,446,2293,2335,931,189,163,26,0,100,52,28,1,5,39,5,0,37,81,28,42,0,6,8,25,6,0,0,1,225,190,32,23,46.78217821782179,51.54950495049505,40.67193450114241,48.01980198019802,97.10288047790527,447,70,80,43,41
324,373,1794,1843,754,194,162,16,1,103,46,12,0,7,35,1,0,25,74,8,49,0,5,3,21,9,0,0,1,230,193,37,26,59.876543209876544,48.44444444444444,34.484567901234556,55.8641975308642,98.60692620277405,294,49,44,35,20
229,270,1162,1203,475,120,106,15,0,72,22,17,0,7,14,4,0,13,42,22,39,0,8,2,10,5,1,0,4,135,113,22,27,52.40174672489083,57.90829694323144,55.908005822416285,49.78165938864629,97.24583625793457,347,39,45,24,20
75,93,406,430,165,61,54,6,0,22,18,2,0,4,5,5,0,2,13,0,18,0,3,1,9,2,1,0,1,61,44,17,7,81.33333333333333,58.86666666666667,50.49999999999997,61.33333333333333,98.17655086517334,101,22,17,19,13
77,88,407,424,175,58,51,6,0,15,19,0,0,1,9,4,0,4,14,7,11,0,2,1,10,1,3,0,0,58,55,3,9,75.32467532467533,59.519480519480524,45.439393939393916,50.649350649350644,96.45637273788452,117,14,19,11,6
77,88,407,424,175,58,51,6,0,15,19,0,0,1,9,4,0,4,14,7,11,0,2,1,10,1,3,0,0,58,55,3,9,75.32467532467533,59.519480519480524,45.439393939393916,50.649350649350644,96.45637273788452,117,14,19,11,6
389,453,2200,2264,905,219,196,17,0,117,30,29,0,0,35,4,0,30,84,27,64,0,20,4,22,3,0,0,3,236,208,29,39,56.29820051413882,45.55526992287918,31.896567367306822,45.501285347043705,99.28148984909058,237,30,49,22,18
273,295,1489,1511,606,187,154,14,0,65,38,7,0,5,33,5,0,32,61,17,22,0,4,0,21,5,1,0,0,192,175,20,26,68.4981684981685,49.84249084249084,42.214285714285694,51.28205128205128,98.78107905387878,166,33,36,21,10
446,502,2499,2555,1048,218,190,20,0,139,44,17,0,5,42,6,0,38,108,17,56,0,12,2,33,2,1,0,0,299,261,37,57,48.87892376681614,46.42152466367713,30.96457399103137,50.672645739910315,98.93812537193298,213,34,19,18,8
99,124,621,646,252,79,71,5,0,31,12,2,0,3,14,1,0,15,13,4,25,0,4,0,10,1,0,0,0,76,64,12,8,79.7979797979798,41.42424242424242,20.745454545454532,61.61616161616161,98.96020293235779,110,18,15,17,11
250,300,1449,1499,607,150,132,9,5,85,17,6,0,4,16,4,0,32,60,5,50,0,6,0,12,1,0,0,1,173,139,37,26,60.0,41.84,20.40222222222223,55.2,99.67244863510132,149,26,36,10,9
343,398,2014,2071,825,205,168,17,3,83,46,3,0,5,34,5,0,34,76,31,55,0,12,3,33,3,1,0,2,228,200,29,31,59.7667638483965,45.15160349854227,29.482421540044594,48.97959183673469,98.74170422554016,465,66,51,47,31
80,91,505,516,201,68,60,4,1,15,14,4,0,2,14,1,0,9,14,6,11,0,0,0,2,4,0,0,1,57,48,9,2,85.0,40.875,22.68749999999997,50.0,99.24015998840332,94,17,21,15,15
250,282,1389,1421,585,149,127,14,0,75,30,2,0,5,22,3,0,25,63,10,32,0,9,1,21,0,1,0,0,182,160,23,17,59.599999999999994,50.24,36.042857142857144,54.0,98.57443571090698,117,20,8,8,4
261,306,1509,1554,616,153,131,14,2,71,30,6,1,6,21,2,0,16,59,29,45,0,10,0,12,5,0,0,0,150,129,20,24,58.620689655172406,47.275862068965516,33.9471811713191,47.12643678160919,99.67796206474304,94,19,10,13,5
303,344,1673,1714,693,191,168,15,1,80,37,12,0,6,30,1,0,23,67,30,41,0,9,1,11,12,0,0,0,185,154,29,30,63.03630363036304,48.636963696369634,37.13663366336634,48.18481848184818,99.54459071159363,168,30,26,18,13
303,344,1673,1714,693,191,168,15,1,80,37,12,0,6,30,1,0,23,67,30,41,0,9,1,11,12,0,0,0,185,154,29,30,63.03630363036304,48.636963696369634,37.13663366336634,48.18481848184818,99.54459071159363,168,30,26,18,13
122,146,673,697,264,89,79,7,0,34,17,6,1,0,17,0,0,10,19,9,24,0,5,0,11,2,0,0,0,78,71,8,8,72.95081967213115,51.049180327868854,47.9156908665105,50.0,97.84518480300903,111,20,26,13,10
122,146,673,697,264,89,79,7,0,34,17,6,1,0,17,0,0,10,19,9,24,0,5,0,11,2,0,0,0,78,71,8,8,72.95081967213115,51.049180327868854,47.9156908665105,50.0,97.84518480300903,111,20,26,13,10
229,294,1241,1306,502,163,139,10,0,50,29,13,0,2,16,3,0,25,38,44,62,0,7,0,15,2,0,0,0,130,117,13,19,71.17903930131004,47.90829694323144,40.61091703056767,46.288209606986904,98.66102933883667,386,11,43,9,22
245,281,1457,1493,599,168,139,12,0,67,34,1,0,6,26,2,0,35,45,17,36,0,8,0,24,2,0,0,0,185,165,21,20,68.57142857142857,44.224489795918366,26.664965986394538,57.95918367346938,99.56296682357788,400,35,61,29,33
127,142,785,800,321,98,80,9,0,29,19,1,0,2,18,1,0,12,24,10,16,0,4,1,14,1,0,0,0,86,73,12,8,77.16535433070865,48.44881889763779,27.597550306211705,48.818897637795274,99.58764314651489,167,22,19,16,13
411,462,2566,2617,1048,248,197,25,0,104,69,3,2,14,32,10,0,32,84,42,51,0,11,1,27,13,1,0,4,275,221,47,34,60.34063260340633,44.81508515815085,23.81790754257906,53.284671532846716,99.74694848060608,256,36,58,22,14
296,334,1778,1816,732,202,171,23,0,77,40,4,1,10,27,6,0,30,61,26,38,0,2,3,21,3,3,0,0,182,158,22,20,68.24324324324324,52.24324324324324,32.38719153936547,53.04054054054054,99.06314611434937,365,58,71,31,31
380,432,2279,2331,955,242,199,23,0,118,51,10,0,8,31,5,0,34,89,9,55,0,6,2,30,6,1,0,0,261,219,42,37,63.68421052631579,47.18421052631579,26.12299771167048,55.52631578947368,99.53728914260864,378,38,57,24,35
211,241,1183,1213,499,151,129,15,0,55,20,3,0,4,29,4,1,24,38,22,30,0,6,0,15,1,1,0,1,143,124,20,17,71.56398104265402,54.26066350710901,38.212954186413896,48.81516587677725,99.6847927570343,233,29,37,18,19
389,432,2259,2302,934,224,182,16,0,115,56,4,0,11,45,4,0,28,81,24,40,0,13,5,41,2,0,0,2,273,253,21,32,57.58354755784062,43.267352185089976,25.620661953727506,53.98457583547558,97.67208099365234,1374,54,80,41,57
209,252,1159,1202,501,143,119,8,0,55,35,5,0,8,23,1,0,24,31,6,43,0,11,3,17,4,1,0,0,162,133,29,20,68.42105263157895,45.02870813397129,24.061602870813374,58.3732057416268,99.31386113166809,285,19,37,14,24
