n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens
301,340,1611,1650,671,185,162,11,1,79,31,12,0,5,29,3,0,23,69,30,39,0,10,1,9,10,0,0,0,182,151,29,33,61.461794019933556,46.44186046511628,33.736031410450025,45.84717607973422,99.60615038871765,79,22,24,10,11
119,141,641,663,251,88,77,4,0,32,16,6,1,0,13,2,0,10,20,9,22,0,6,0,10,2,0,0,0,73,67,7,8,73.94957983193278,45.21848739495798,39.14915966386553,48.739495798319325,97.98043966293335,65,16,21,9,8
119,141,641,663,251,88,77,4,0,32,16,6,1,0,13,2,0,10,20,9,22,0,6,0,10,2,0,0,0,73,67,7,8,73.94957983193278,45.21848739495798,39.14915966386553,48.739495798319325,97.98043966293335,65,16,21,9,8
279,347,1491,1559,604,189,162,10,0,59,32,13,0,2,21,6,0,30,50,53,65,0,8,0,17,2,0,0,0,159,144,15,24,67.74193548387096,46.31182795698925,37.38315412186379,44.086021505376344,99.91762042045593,47,7,12,4,6
237,273,1415,1451,583,166,138,10,0,67,28,1,0,6,21,1,0,37,47,17,36,0,8,0,19,2,0,0,0,176,156,21,23,70.042194092827,41.95358649789029,22.40548523206751,58.22784810126582,99.70007538795471,332,27,38,22,30
124,137,756,769,309,92,73,7,0,32,14,1,0,1,17,0,0,12,25,10,14,0,4,1,10,1,0,0,0,81,68,12,7,74.19354838709677,44.96774193548387,26.309907834101388,47.58064516129033,99.7153103351593,116,13,16,10,11
416,464,2448,2496,1018,238,195,19,2,98,64,3,0,12,26,11,0,32,83,40,48,0,13,1,31,9,1,0,4,256,205,45,35,57.21153846153846,43.85576923076923,25.042763157894736,49.519230769230774,99.94291663169861,78,22,24,9,12
290,322,1718,1750,710,197,166,16,0,76,32,4,1,8,27,6,0,27,62,29,32,0,6,3,16,3,3,0,0,176,153,21,24,67.93103448275862,46.310344827586206,28.73706896551724,49.310344827586206,99.4100570678711,245,39,56,17,19
385,436,2288,2339,958,247,206,19,0,119,47,10,0,8,30,5,0,37,93,10,54,0,7,2,30,5,1,0,0,262,221,41,39,64.15584415584415,44.37662337662338,23.996582365003384,54.8051948051948,99.59027171134949,305,27,43,13,24
208,236,1165,1193,491,150,128,13,0,57,15,3,0,3,26,5,1,24,40,22,28,0,7,0,11,1,1,0,1,136,117,19,17,72.11538461538461,51.74038461538461,36.5625,47.59615384615385,99.69778656959534,199,24,32,13,17
421,466,2436,2481,1008,237,190,17,0,128,56,4,0,11,49,4,0,31,89,24,42,0,15,5,39,3,0,0,3,300,275,26,38,56.294536817102134,43.25178147268409,25.605840435936827,53.681710213776725,97.80131578445435,307,52,64,41,44
209,252,1159,1202,501,143,119,8,0,55,35,5,0,8,23,1,0,24,31,6,43,0,11,3,17,4,1,0,0,162,133,29,20,68.42105263157895,45.02870813397129,24.061602870813374,58.3732057416268,99.30988550186157,284,19,37,14,24
